;y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13
0;Jorg;2.60238;0.96674;1.13609;-8.73954;10.34283;-25.06234;Croatia;-26.24571;23.02955;-997.35090;-1.78790;TRUE;1.33127
1;Jorg;-0.44010;-1.36517;-0.57464;-12.11264;8.80058;2.92219;France;3.10995;-0.97442;-998.12080;-0.43975;FALSE;-0.60764
2;20;0.47141;0.13728;0.19375;-10.02302;9.86775;-4.54489;Croatia;-5.15196;2.74949;-997.92206;0.22455;TRUE;0.22911
3;20;0.49950;-0.50789;-0.00267;-10.62404;9.53749;-5.48938;France;-5.85232;5.03340;-999.11746;-0.71580;FALSE;0.03479
4;Atsuto;2.30637;-0.48135;0.58092;-9.19696;9.88040;-23.61441;Croatia;-22.62680;23.02378;-998.17877;3.75433;TRUE;0.75390
5;Atsuto;0.48650;0.37218;0.27333;-10.97496;9.53468;-4.51994;France;-3.90566;5.19253;-1000.32407;-1.12137;TRUE;0.30981
6;Jorg;1.51625;-0.29928;0.38737;-9.20730;9.87876;-15.53653;Croatia;-14.49036;15.67697;-999.44184;-1.53747;TRUE;0.50109
7;Atsuto;0.90604;-0.45964;0.14209;-10.10728;9.58287;-9.66472;Croatia;-9.38764;9.11151;-999.34498;-1.78894;FALSE;0.21005
8;Jorg;-0.03502;-1.10454;-0.36273;-11.04006;9.01478;-0.67929;France;-0.86729;-0.50298;-998.15523;-0.88724;FALSE;-0.36536
9;20;0.90461;-0.15821;0.23759;-11.26338;9.33894;-9.29262;France;-7.39885;9.16582;-996.36699;-0.44667;TRUE;0.30543
10;20;0.34203;-1.08036;-0.23502;-10.94229;9.47344;-4.64961;France;-4.59643;3.65896;-997.90343;-2.03892;FALSE;-0.20937
11;20;0.93382;-0.49023;0.14120;-10.12181;9.53517;-9.85235;Croatia;-9.53679;10.01020;-995.90445;-1.35363;FALSE;0.21124
12;20;-0.08972;-0.15169;-0.07684;-12.39227;9.00983;0.68855;France;1.67033;0.13220;-1000.65766;-1.19289;FALSE;-0.08357
13;20;0.73331;-0.17844;0.17662;-10.43747;9.73101;-7.63522;Croatia;-6.72185;6.41026;-996.61919;-1.01670;FALSE;0.23162
14;Jorg;1.69259;1.16107;0.90835;-9.29805;10.32984;-15.72360;Croatia;-15.19384;14.06542;-996.93309;-0.28373;TRUE;1.03530
15;Atsuto;1.85478;-1.16416;0.21983;-9.48558;9.58938;-19.90796;Croatia;-21.38198;19.85798;-1001.00154;2.28422;FALSE;0.35894
16;Atsuto;0.15554;-0.11486;0.01295;-11.10878;9.45244;-1.75652;France;-1.01171;1.55394;-998.71260;-0.54757;FALSE;0.02462
17;Atsuto;2.53872;-1.07067;0.46730;-8.94793;9.68446;-26.43263;Croatia;-25.69067;27.44830;-998.44520;-0.02260;FALSE;0.65770
18;Bob;0.49322;0.08843;0.18515;-10.79144;9.63841;-4.88152;France;-4.27627;4.26814;-997.80710;0.60697;TRUE;0.22214
19;20;1.13632;0.20569;0.42718;-11.64278;9.20167;-10.91966;France;-10.67999;12.51466;-998.06304;-1.46508;TRUE;0.51240
20;Bob;1.79048;-0.25255;0.48954;-10.39520;9.60346;-18.00188;Croatia;-17.72028;18.59559;-998.52782;-0.82830;TRUE;0.62382
21;Bob;-0.36346;-0.41077;-0.24644;-11.47705;9.41345;3.22221;France;4.01103;-4.62192;-997.35110;-3.31204;FALSE;-0.27370
22;Atsuto;3.74775;0.08796;1.22094;-7.17116;10.90042;-37.40654;Argentina;-38.28903;37.75220;-998.00909;-1.74495;TRUE;1.50203
23;Jorg;-0.79344;-0.62248;-0.45070;-12.18542;9.04424;7.09535;France;10.06217;-3.70523;-997.25307;-0.96596;FALSE;-0.51021
24;Jorg;-0.00889;-0.15349;-0.05168;-11.74556;9.17689;-0.00889;France;-1.55414;-0.86474;-999.66572;1.03535;FALSE;-0.05235
25;20;2.18409;-0.47829;0.54297;-8.38505;10.36383;-22.21068;Argentina;-23.37655;22.85721;-996.56192;0.70500;TRUE;0.70678
26;Bob;0.65451;0.13758;0.25213;-9.78793;10.14082;-6.34914;Croatia;-7.27461;9.05956;-999.70516;-2.57260;TRUE;0.30122
27;Atsuto;1.22267;0.25893;0.47161;-9.19130;10.34672;-12.00631;Croatia;-11.93901;12.05694;-998.56661;3.64391;TRUE;0.56331
